# csf-cmt-sigma  --  pipeline-test data
# Column 1: T/T_c (T_c = 154 MeV)
# Column 2: sigma/sigma_0  (crossover shape = normalized chi_2^B)
# Source: chi_2^B(T) from Taylor-coefficient parametrization of
# cratti/EoS_BQS (Parotto & Stafford, arXiv:1908.00912), row CHI200.
# NOTE (pipeline test only): absolute chi_2^B normalization of this
# parametrization is ~0.31 at high T vs SB limit 1 -> shape used here.
# Formal sigma(T)/sigma_0 for the paper requires HRG+lattice assembly.
0.1948  0.000000
0.2597  0.000000
0.3247  0.000001
0.3896  0.000024
0.4545  0.000170
0.5195  0.000760
0.5844  0.002578
0.6494  0.007343
0.7143  0.018521
0.7792  0.042398
0.8442  0.088472
0.9091  0.166531
0.9740  0.278091
1.0390  0.408479
1.1039  0.533338
1.1688  0.635436
1.2338  0.711395
1.2987  0.766037
1.3636  0.805732
1.4286  0.835530
1.4935  0.858790
1.5584  0.877600
1.6234  0.893242
1.6883  0.906513
1.7532  0.917930
1.8182  0.927844
1.8831  0.936509
1.9481  0.944116
2.0130  0.950815
2.0779  0.956728
2.1429  0.961956
2.2078  0.966584
2.2727  0.970685
2.3377  0.974322
2.4026  0.977550
2.4675  0.980413
2.5325  0.982955
2.5974  0.985210
2.6623  0.987210
2.7273  0.988982
2.7922  0.990551
2.8571  0.991938
2.9221  0.993162
2.9870  0.994240
3.0519  0.995186
3.1169  0.996014
3.1818  0.996736
3.2468  0.997362
3.3117  0.997901
3.3766  0.998362
3.4416  0.998752
3.5065  0.999079
3.5714  0.999348
3.6364  0.999564
3.7013  0.999734
3.7662  0.999860
3.8312  0.999948
3.8961  1.000000
